               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.035514,            0.024134,           0.0025071,             0.70065,             0.79672,              0.7302,             0.48311,            0.026797,            0.020206,          0.00097651,            0.007525,            0.007525,            0.007525
                  77,            0.035597,            0.024069,           0.0024594,             0.70005,             0.79759,             0.73069,             0.48376,             0.02677,            0.020189,          0.00097328,            0.007492,            0.007492,            0.007492
                  78,            0.035616,            0.024154,           0.0024895,             0.70047,             0.79817,             0.73122,             0.48428,            0.026744,            0.020171,          0.00096977,            0.007459,            0.007459,            0.007459
                  79,            0.035474,            0.024019,           0.0024158,             0.70082,              0.7985,             0.73177,             0.48486,            0.026717,            0.020152,          0.00096596,            0.007426,            0.007426,            0.007426
                  80,             0.03534,            0.024195,           0.0024685,             0.70134,             0.79856,             0.73256,             0.48568,             0.02669,            0.020128,          0.00096249,            0.007393,            0.007393,            0.007393
                  81,            0.035407,            0.023989,           0.0025349,             0.70225,             0.79825,             0.73313,             0.48638,            0.026664,            0.020109,          0.00095931,             0.00736,             0.00736,             0.00736
                  82,            0.035257,            0.024193,           0.0024203,              0.7024,             0.79854,             0.73375,             0.48702,            0.026634,            0.020087,          0.00095546,            0.007327,            0.007327,            0.007327
                  83,            0.035371,            0.023967,           0.0024559,             0.70302,             0.79901,             0.73449,             0.48787,            0.026605,            0.020067,          0.00095182,            0.007294,            0.007294,            0.007294
                  84,            0.035267,            0.024059,           0.0024284,             0.70381,             0.79927,             0.73522,             0.48863,            0.026574,            0.020046,          0.00094766,            0.007261,            0.007261,            0.007261
                  85,            0.035254,            0.023899,           0.0023514,             0.70407,             0.79997,             0.73592,              0.4893,            0.026545,            0.020025,          0.00094357,            0.007228,            0.007228,            0.007228
                  86,            0.035182,            0.023908,           0.0024379,             0.70409,             0.80125,             0.73648,             0.49018,            0.026515,            0.020003,          0.00093943,            0.007195,            0.007195,            0.007195
                  87,            0.035212,            0.023788,           0.0023875,             0.70453,             0.80135,             0.73713,               0.491,            0.026485,            0.019976,          0.00093474,            0.007162,            0.007162,            0.007162
                  88,            0.035207,             0.02401,           0.0023854,             0.70418,             0.80241,             0.73798,             0.49175,            0.026456,            0.019952,          0.00093042,            0.007129,            0.007129,            0.007129
                  89,            0.035008,            0.023839,            0.002381,             0.70476,             0.80309,             0.73881,             0.49258,            0.026423,            0.019929,          0.00092632,            0.007096,            0.007096,            0.007096
                  90,            0.034997,            0.023905,           0.0023655,             0.70514,             0.80344,             0.73947,              0.4933,            0.026391,            0.019913,          0.00092254,            0.007063,            0.007063,            0.007063
                  91,             0.03494,            0.023878,           0.0024241,              0.7059,             0.80332,             0.74008,             0.49398,            0.026363,            0.019893,           0.0009186,             0.00703,             0.00703,             0.00703
                  92,            0.035014,            0.023706,           0.0023237,              0.7073,             0.80311,              0.7409,             0.49476,            0.026333,             0.01987,           0.0009147,            0.006997,            0.006997,            0.006997
                  93,            0.034869,            0.023814,           0.0023379,             0.70682,             0.80439,             0.74178,              0.4957,            0.026302,            0.019848,          0.00091082,            0.006964,            0.006964,            0.006964
                  94,            0.034893,            0.023894,           0.0023888,             0.70689,             0.80535,             0.74253,             0.49641,            0.026271,            0.019825,          0.00090704,            0.006931,            0.006931,            0.006931
                  95,             0.03481,            0.023843,           0.0022923,             0.70775,             0.80547,             0.74336,             0.49714,            0.026239,            0.019799,          0.00090312,            0.006898,            0.006898,            0.006898
                  96,             0.03489,            0.023747,            0.002339,             0.70843,             0.80593,             0.74414,             0.49793,            0.026209,            0.019774,          0.00089946,            0.006865,            0.006865,            0.006865
                  97,             0.03495,            0.023942,            0.002295,             0.70883,             0.80642,             0.74504,             0.49876,            0.026178,            0.019748,          0.00089552,            0.006832,            0.006832,            0.006832
                  98,            0.034786,            0.023658,           0.0023238,             0.70825,             0.80786,             0.74588,             0.49967,            0.026148,            0.019726,          0.00089187,            0.006799,            0.006799,            0.006799
                  99,            0.034679,            0.023825,           0.0023001,             0.70839,             0.80895,             0.74667,             0.50054,            0.026117,            0.019699,          0.00088787,            0.006766,            0.006766,            0.006766
                 100,            0.034821,            0.023691,           0.0023903,             0.70898,             0.80913,             0.74752,              0.5013,            0.026087,            0.019674,          0.00088435,            0.006733,            0.006733,            0.006733
                 101,            0.034695,            0.023616,           0.0023284,             0.70938,             0.81005,             0.74842,             0.50225,            0.026055,            0.019644,          0.00088028,              0.0067,              0.0067,              0.0067
                 102,            0.034645,            0.023648,            0.002287,             0.71012,             0.81044,             0.74924,             0.50308,            0.026022,            0.019618,           0.0008762,            0.006667,            0.006667,            0.006667
                 103,            0.034628,            0.023695,            0.002312,             0.71087,             0.81093,             0.75022,             0.50393,            0.025993,            0.019592,          0.00087227,            0.006634,            0.006634,            0.006634
                 104,            0.034564,            0.023562,           0.0022375,             0.71121,             0.81125,             0.75111,             0.50494,            0.025962,            0.019568,          0.00086883,            0.006601,            0.006601,            0.006601
                 105,            0.034412,            0.023459,           0.0022333,             0.71079,             0.81294,              0.7522,             0.50607,            0.025931,            0.019537,          0.00086498,            0.006568,            0.006568,            0.006568
                 106,            0.034666,             0.02356,           0.0023489,             0.71147,             0.81345,             0.75313,             0.50695,              0.0259,            0.019513,          0.00086128,            0.006535,            0.006535,            0.006535
                 107,            0.034472,            0.023563,           0.0022422,             0.71244,             0.81428,             0.75419,             0.50807,            0.025869,            0.019484,          0.00085751,            0.006502,            0.006502,            0.006502
                 108,            0.034419,            0.023712,           0.0022845,             0.71269,             0.81538,             0.75507,             0.50902,            0.025835,            0.019458,          0.00085408,            0.006469,            0.006469,            0.006469
                 109,            0.034312,            0.023469,            0.002266,             0.71323,             0.81606,             0.75601,             0.50996,            0.025803,            0.019432,          0.00085056,            0.006436,            0.006436,            0.006436
                 110,            0.034225,            0.023514,           0.0022032,             0.71364,             0.81682,             0.75706,             0.51109,            0.025772,            0.019406,          0.00084718,            0.006403,            0.006403,            0.006403
                 111,            0.034402,            0.023403,           0.0022815,             0.71469,             0.81644,             0.75796,             0.51207,             0.02574,             0.01938,          0.00084431,             0.00637,             0.00637,             0.00637
                 112,             0.03432,            0.023431,           0.0022818,             0.71525,             0.81741,             0.75904,             0.51291,            0.025709,            0.019355,          0.00084134,            0.006337,            0.006337,            0.006337
                 113,            0.034246,            0.023179,           0.0021831,             0.71629,             0.81703,             0.75997,             0.51387,            0.025678,             0.01933,          0.00083889,            0.006304,            0.006304,            0.006304
                 114,            0.034299,              0.0234,           0.0022574,             0.71683,             0.81818,             0.76094,             0.51486,            0.025645,            0.019302,           0.0008362,            0.006271,            0.006271,            0.006271
                 115,            0.034203,            0.023483,            0.002207,             0.71759,             0.81886,               0.762,             0.51578,            0.025613,            0.019271,          0.00083315,            0.006238,            0.006238,            0.006238
                 116,            0.034078,            0.023483,           0.0022135,             0.71924,             0.81825,             0.76297,             0.51677,            0.025584,            0.019243,          0.00082977,            0.006205,            0.006205,            0.006205
                 117,            0.034056,            0.023357,            0.002219,                0.72,             0.81871,             0.76401,             0.51788,            0.025548,            0.019209,          0.00082647,            0.006172,            0.006172,            0.006172
                 118,            0.033932,            0.023273,           0.0022016,             0.72061,             0.81954,             0.76509,             0.51893,            0.025515,             0.01918,          0.00082338,            0.006139,            0.006139,            0.006139
                 119,            0.034051,            0.023307,           0.0022007,             0.72159,             0.81977,             0.76609,             0.51988,            0.025479,             0.01915,          0.00082024,            0.006106,            0.006106,            0.006106
                 120,            0.034064,            0.023307,           0.0022042,             0.72136,             0.82087,             0.76706,             0.52079,            0.025451,            0.019123,          0.00081686,            0.006073,            0.006073,            0.006073
                 121,              0.0341,            0.023196,           0.0021655,              0.7218,             0.82126,             0.76816,             0.52185,            0.025417,            0.019094,          0.00081348,             0.00604,             0.00604,             0.00604
                 122,            0.033924,            0.023173,           0.0022196,             0.72276,             0.82167,             0.76919,             0.52308,            0.025381,            0.019064,          0.00080974,            0.006007,            0.006007,            0.006007
                 123,            0.033884,            0.023109,            0.002159,             0.72295,             0.82244,              0.7705,             0.52436,            0.025346,            0.019036,          0.00080585,            0.005974,            0.005974,            0.005974
                 124,            0.033785,            0.023252,           0.0021058,             0.72404,              0.8222,             0.77166,             0.52527,            0.025309,            0.019003,          0.00080237,            0.005941,            0.005941,            0.005941
                 125,            0.033833,            0.023212,           0.0022161,             0.72407,             0.82392,             0.77287,             0.52635,            0.025273,            0.018973,          0.00079901,            0.005908,            0.005908,            0.005908
                 126,            0.033862,            0.023137,           0.0021004,             0.72479,             0.82404,             0.77396,              0.5274,             0.02524,            0.018943,          0.00079541,            0.005875,            0.005875,            0.005875
                 127,            0.033661,             0.02312,           0.0020559,              0.7258,             0.82421,             0.77525,             0.52854,            0.025206,            0.018915,          0.00079194,            0.005842,            0.005842,            0.005842
